geo_id,geo_name,geography_type,parent_metro_code,median_household_income,year
15540,"Burlington-South Burlington, VT",metro,,93043,2024
15764,"Cambridge-Newton-Framingham, MA",division,14460,120883,2024
15804,"Camden, NJ",division,37980,99795,2024
15940,"Canton-Massillon, OH",metro,,67801,2024
15980,"Cape Coral-Fort Myers, FL",metro,,76107,2024
16020,"Cape Girardeau, MO-IL",metro,,66759,2024
16180,"Carson City, NV",metro,,72355,2024
16220,"Casper, WY",metro,,72156,2024
16300,"Cedar Rapids, IA",metro,,78080,2024
16540,"Chambersburg, PA",metro,,77003,2024
16580,"Champaign-Urbana, IL",metro,,65528,2024
16620,"Charleston, WV",metro,,60117,2024
16700,"Charleston-North Charleston, SC",metro,,85254,2024
16740,"Charlotte-Concord-Gastonia, NC-SC",metro,,83304,2024
16820,"Charlottesville, VA",metro,,93598,2024
16860,"Chattanooga, TN-GA",metro,,72161,2024
16940,"Cheyenne, WY",metro,,80173,2024
16980,"Chicago-Naperville-Elgin, IL-IN",metro,,90887,2024
16984,"Chicago-Naperville-Schaumburg, IL",division,16980,90170,2024
17020,"Chico, CA",metro,,67928,2024
17140,"Cincinnati, OH-KY-IN",metro,,81120,2024
17300,"Clarksville, TN-KY",metro,,68967,2024
17410,"Cleveland, OH",metro,,70678,2024
17420,"Cleveland, TN",metro,,66135,2024
17660,"Coeur d'Alene, ID",metro,,81861,2024
17780,"College Station-Bryan, TX",metro,,60087,2024
17820,"Colorado Springs, CO",metro,,90144,2024
17860,"Columbia, MO",metro,,72340,2024
17900,"Columbia, SC",metro,,68359,2024
17980,"Columbus, GA-AL",metro,,59336,2024
18020,"Columbus, IN",metro,,79901,2024
18140,"Columbus, OH",metro,,81945,2024
18580,"Corpus Christi, TX",metro,,67453,2024
18700,"Corvallis, OR",metro,,77702,2024
18880,"Crestview-Fort Walton Beach-Destin, FL",metro,,81993,2024
19100,"Dallas-Fort Worth-Arlington, TX",metro,,90275,2024
19124,"Dallas-Plano-Irving, TX",division,19100,92486,2024
19140,"Dalton, GA",metro,,67846,2024
19300,"Daphne-Fairhope-Foley, AL",metro,,78775,2024
19340,"Davenport-Moline-Rock Island, IA-IL",metro,,72738,2024
19430,"Dayton-Kettering-Beavercreek, OH",metro,,71739,2024
19460,"Decatur, AL",metro,,68116,2024
19500,"Decatur, IL",metro,,62666,2024
19660,"Deltona-Daytona Beach-Ormond Beach, FL",metro,,71277,2024
19740,"Denver-Aurora-Centennial, CO",metro,,105762,2024
19780,"Des Moines-West Des Moines, IA",metro,,85890,2024
19804,"Detroit-Dearborn-Livonia, MI",division,19820,60539,2024
19820,"Detroit-Warren-Dearborn, MI",metro,,76664,2024
20020,"Dothan, AL",metro,,57791,2024
20100,"Dover, DE",metro,,74477,2024
20220,"Dubuque, IA",metro,,77630,2024
20260,"Duluth, MN-WI",metro,,71769,2024
20500,"Durham-Chapel Hill, NC",metro,,83500,2024
20580,"Eagle Pass, TX",metro,,49568,2024
20740,"Eau Claire, WI",metro,,74595,2024
20940,"El Centro, CA",metro,,57681,2024
20994,"Elgin, IL",division,16980,100022,2024
21060,"Elizabethtown, KY",metro,,67534,2024
21140,"Elkhart-Goshen, IN",metro,,68561,2024
21300,"Elmira, NY",metro,,63716,2024
21340,"El Paso, TX",metro,,59751,2024
21420,"Enid, OK",metro,,66182,2024
21500,"Erie, PA",metro,,63354,2024
21660,"Eugene-Springfield, OR",metro,,71544,2024
21780,"Evansville, IN",metro,,68232,2024
21794,"Everett, WA",division,42660,111246,2024
21820,"Fairbanks-College, AK",metro,,88267,2024
22020,"Fargo, ND-MN",metro,,76756,2024
22140,"Farmington, NM",metro,,55872,2024
22180,"Fayetteville, NC",metro,,61763,2024
22220,"Fayetteville-Springdale-Rogers, AR",metro,,81650,2024
22380,"Flagstaff, AZ",metro,,72966,2024
22420,"Flint, MI",metro,,62281,2024
22500,"Florence, SC",metro,,54443,2024
22520,"Florence-Muscle Shoals, AL",metro,,61891,2024
22540,"Fond du Lac, WI",metro,,74275,2024
22660,"Fort Collins-Loveland, CO",metro,,93765,2024
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",division,33100,77633,2024
22900,"Fort Smith, AR-OK",metro,,58468,2024
23060,"Fort Wayne, IN",metro,,71213,2024
23104,"Fort Worth-Arlington-Grapevine, TX",division,19100,85506,2024
23224,"Frederick-Gaithersburg-Bethesda, MD",division,47900,129927,2024
23420,"Fresno, CA",metro,,74468,2024
23460,"Gadsden, AL",metro,,54563,2024
23540,"Gainesville, FL",metro,,61468,2024
23580,"Gainesville, GA",metro,,80901,2024
23900,"Gettysburg, PA",metro,,84092,2024
24020,"Glens Falls, NY",metro,,75836,2024
24140,"Goldsboro, NC",metro,,59733,2024
24220,"Grand Forks, ND-MN",metro,,69836,2024
24260,"Grand Island, NE",metro,,69704,2024
24300,"Grand Junction, CO",metro,,73658,2024
24340,"Grand Rapids-Wyoming-Kentwood, MI",metro,,82874,2024
24420,"Grants Pass, OR",metro,,60098,2024
24500,"Great Falls, MT",metro,,67690,2024
24540,"Greeley, CO",metro,,97097,2024
24580,"Green Bay, WI",metro,,79267,2024
24660,"Greensboro-High Point, NC",metro,,65565,2024
